System,Issue URL,Symptom Stage,Root Cause Stage,Root Cause Category,Stage Gap,Fix Cost
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2224,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,28.8 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2219,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,24.27 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2214,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,47.57 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2206,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,97.83 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2184,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,770.32 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2163,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,1006.74 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2140,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,0.22 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2136,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,4.77 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2116,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,104.1 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2068,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,241.75 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2065,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,103.23 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1990,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,0.9 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1751,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,14.63 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1748,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,1350.03 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1723,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,0.28 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1714,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,22.47 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1704,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,1073.67 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1707,S3: Retrieval,S3: Retrieval,RC-A: Configuration Bugs,0,7.96 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1669,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,44.6 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1660,S5: Generation,S1: Indexing,RC-A: Configuration Bugs,4,1628.33 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1642,S1: Indexing,S1: Indexing,RC-B: User Misconfigurations,0,23.84 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1636,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,1042.28 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1621,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,71.57 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1600,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,20.98 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1581,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,12.39 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1571,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,22.2 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1562,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,70.46 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1546,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,240.89 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1523,S4: Post-Retrieval Processing,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,0,104.86 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1498,S4: Post-Retrieval Processing,S3: Retrieval,RC-A: Configuration Bugs,1,13.37 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1462,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,924.7 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1459,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,952.93 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1453,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,0.79 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1441,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,1379.0 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1426,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,3318.51 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1394,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,19.4 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1390,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,5.16 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1389,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,977.77 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1352,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,468.54 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1307,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,6.01 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1243,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,244.32 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1240,S5: Generation,S0: Initialization,RC-B: User Misconfigurations,5,1257.18 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1210,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,43.75 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1160,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,895.25 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1143,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,4308.87 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1116,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,4.97 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1094,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,21.0 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1049,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,6.35 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1021,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,6.68 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/968,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,120.14 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/875,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,84.21 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/867,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,24.77 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/863,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,972.88 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/840,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,930.66 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/827,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,924.17 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/821,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,1427.87 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/800,S3: Retrieval,S1: Indexing,RC-A: Configuration Bugs,2,100.64 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/798,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,1235.79 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/766,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,140.88 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/756,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,150.6 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/719,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,62.87 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/660,S3: Retrieval,S1: Indexing,RC-A: Configuration Bugs,2,139.99 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/655,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,8.95 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/654,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,3592.02 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/644,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,122.8 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/630,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,3998.16 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/617,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,64.41 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/597,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,4262.28 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/563,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,716.62 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/561,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,6916.89 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/443,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,253.97 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/301,S5: Generation,S3: Retrieval,RC-B: User Misconfigurations,2,3627.81 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/252,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,4034.96 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1880,S5: Generation,S0: Initialization,RC-B: User Misconfigurations,5,25.06 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1858,S4: Post-Retrieval Processing,S0: Initialization,RC-B: User Misconfigurations,4,1.51 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1813,S4: Post-Retrieval Processing,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,0,4.59 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1800,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,11.01 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1798,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,13.48 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1789,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,65.12 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1785,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,31.73 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1745,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,0 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1742,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,38.96 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1731,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,148.19 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1687,S5: Generation,S0: Initialization,RC-B: User Misconfigurations,5,812.99 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1668,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,963.75 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1666,S5: Generation,S1: Indexing,RC-A: Configuration Bugs,4,464.97 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1630,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,558.63 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1613,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,1420.71 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1594,S0: Initialization,S1: Indexing,RC-A: Configuration Bugs,1,921.06 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1574,S1: Indexing,S1: Indexing,RC-B: User Misconfigurations,0,29.65 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1573,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,1615.75 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1569,S0: Initialization,S1: Indexing,RC-B: User Misconfigurations,1,12.69 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1567,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,12.24 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1565,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,23.81 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1560,S4: Post-Retrieval Processing,S0: Initialization,RC-B: User Misconfigurations,4,1667.35 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1536,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,2047.93 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1509,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,1867.19 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1498,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,1930.39 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1495,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,229.13 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1438,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,19.67 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1429,S3: Retrieval,S3: Retrieval,RC-A: Configuration Bugs,0,0.91 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1386,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,8.89 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1327,S1: Indexing,S0: Initialization,RC-B: User Misconfigurations,1,2433.36 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1321,S5: Generation,S0: Initialization,RC-B: User Misconfigurations,5,4.82 hours
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1306,S1: Indexing,S1: Indexing,RC-B: User Misconfigurations,0,2476.75 hours
